Common Name,Latin Name,Threatened/Endangered,T-E Weight,Charismatic Species,Char Weight,Migratory,Mig Weight,Significant Economic Value,Econ Weight,Weighted Sum,Weighted Sum Values Only 
Sea otter,Enhydra lutris nereis,1,0.462,1,0.096,0,0.15,1,0.292,0.85,0.85
Long-billed curlew (bird),Numenius americanus,0,0.462,0,0.096,1,0.15,1,0.292,0.442,0.442
Long-legged myotis (Vesper bat),Myotis volans,0,0.462,0,0.096,0,0.15,0,0.292,0,0
Snowy plover,Charadrius alexandrinus nivosus,1,0.462,1,0.096,1,0.15,0,0.292,0.708,0.708
Marbled murrelet,Brachyramus marmoratus,1,0.462,1,0.096,0,0.15,0,0.292,0.558,0.558
Banded dune snail,Helminthoglypta walkeriana,1,0.462,0,0.096,0,0.15,0,0.292,0.462,0.462
California gull,Larus californicus,0,0.462,0,0.096,1,0.15,0,0.292,0.15,0.15
California red-legged frog,Rana draytonii,1,0.462,0,0.096,0,0.15,0,0.292,0.462,0.462
California sea lion,Zalophus californianus,0,0.462,1,0.096,1,0.15,1,0.292,0.538,0.538
California rainbow trout,Oncorhynchus mykiss irideus,1,0.462,0,0.096,0,0.15,1,0.292,0.754,0.754
Peregrine falcon,Falco peregrinus anatum,1,0.462,1,0.096,1,0.15,0,0.292,0.708,0.708
Northern tidewater goby,Eucyclogobius newberryi,1,0.462,0,0.096,0,0.15,0,0.292,0.462,0.462
Cape horned lizard,Phrynosoma coronatum frontale,0,0.462,0,0.096,0,0.15,0,0.292,0,0
Harlequin duck,Histrionicus histrionicus,0,0.462,0,0.096,0,0.15,0,0.292,0,0
Stellar sea lion,Eumetopias jubatus,1,0.462,1,0.096,0,0.15,1,0.292,0.85,0.85
Southwestern pond turtle,Actinemys marmorata,1,0.462,1,0.096,0,0.15,0,0.292,0.558,0.558
Beetle,Coelus globosus,0,0.462,0,0.096,0,0.15,0,0.292,0,0
Burrowing owl,Athene cunicularia,0,0.462,1,0.096,1,0.15,0,0.292,0.246,0.246
Allen's hummingbird,Selasphorus sasin,0,0.462,1,0.096,1,0.15,0,0.292,0.246,0.246
Fairy shrimp,Linderiella occidentalis,0,0.462,0,0.096,0,0.15,0,0.292,0,0